Name,Nationality,Overall,Wage €'s,Wage $'s, Annualized Salary Wage €'s ,Annualized Salary Wage S's,Age,Potential
A. Akinfenwa,England,66,2, 2 ," 104,000 ","119,540",36,66
Jin Jingdao,China PR,66,6, 7 ," 312,000 ","358,621",26,67
F. Bonazzoli,Italy,66,8, 9 ," 416,000 ","478,161",21,74
B. Tetteh,Ghana,66,1, 1 ," 52,000 ","59,770",20,76
J. Grot,Netherlands,66,10, 11 ," 520,000 ","597,701",20,75
G. Notsuda,Japan,66,3, 3 ," 156,000 ","179,310",24,70
D. Jones,United States,66,2, 2 ," 104,000 ","119,540",21,77
N. Hansen,Denmark,66,2, 2 ," 104,000 ","119,540",23,71
T. Beltran,United States,66,2, 2 ," 104,000 ","119,540",30,66
D. Peitz,Germany,66,4, 5 ," 208,000 ","239,080",33,66
D. Starkl,Austria,66,4, 5 ," 208,000 ","239,080",24,69
D. Erdmann,Germany,66,4, 5 ," 208,000 ","239,080",27,66
J. Vela,Colombia,66,1, 1 ," 52,000 ","59,770",25,69
A. Jakobsen,Egypt,66,2, 2 ," 104,000 ","119,540",24,73
J. Segura,Colombia,66,9, 10 ," 468,000 ","537,931",21,79
R. Miller,Costa Rica,66,2, 2 ," 104,000 ","119,540",33,66
U. Cardona,Mexico,66,3, 3 ," 156,000 ","179,310",19,76
J. Karacan,Turkey,66,5, 6 ," 260,000 ","298,851",29,66
L. Saldaña,Colombia,66,1, 1 ," 52,000 ","59,770",28,66
G. Roberts,England,66,15, 17 ," 780,000 ","896,552",34,66
K. Bennett,England,66,4, 5 ," 208,000 ","239,080",27,66
C. Tanner,England,66,2, 2 ," 104,000 ","119,540",23,69
S. Ernst,Germany,66,3, 3 ," 156,000 ","179,310",23,73
B. Akintola,Nigeria,66,6, 7 ," 312,000 ","358,621",22,74
A. Taylor,England,66,3, 3 ," 156,000 ","179,310",31,66
K. Yonekura,Japan,66,4, 5 ," 208,000 ","239,080",30,66
Rúben Vinagre,Portugal,66,7, 8 ," 364,000 ","418,391",19,82
M. Drudi,Italy,66,1, 1 ," 52,000 ","59,770",31,66
K. Ilsø,Denmark,66,2, 2 ," 104,000 ","119,540",31,66
V. Moren,Finland,66,4, 5 ," 208,000 ","239,080",27,68
Lucas,Brazil,66,3, 3 ," 156,000 ","179,310",21,76
J. Norwood,England,66,5, 6 ," 260,000 ","298,851",27,66
P. Frick,Sweden,66,2, 2 ," 104,000 ","119,540",26,67
I. Ssewankambo,Sweden,66,2, 2 ," 104,000 ","119,540",22,73
T. Skarke,Germany,66,3, 3 ," 156,000 ","179,310",21,73
Luis Marleiro,Brazil,66,5, 6 ," 260,000 ","298,851",26,66
M. Pulkrab,Czech Republic,66,1, 1 ," 52,000 ","59,770",21,74
L. Brown,England,66,4, 5 ," 208,000 ","239,080",27,66
R. Gaddis,United States,66,3, 3 ," 156,000 ","179,310",28,66
Lee Yeong Jae,Korea Republic,66,2, 2 ," 104,000 ","119,540",23,73
F. Sakala,Zambia,66,4, 5 ," 208,000 ","239,080",21,75
Park Jun Tae,Korea Republic,66,3, 3 ," 156,000 ","179,310",28,66
N. Saint-Ruf,France,66,2, 2 ," 104,000 ","119,540",25,70
A. Lienhart,Austria,66,4, 5 ," 208,000 ","239,080",32,66
M. Sema,Sweden,66,2, 2 ," 104,000 ","119,540",29,66
M. Bennett,England,66,10, 11 ," 520,000 ","597,701",21,77
N. Hasler,Liechtenstein,66,3, 3 ," 156,000 ","179,310",27,66
Q. Moll,Germany,66,2, 2 ," 104,000 ","119,540",27,67
M. Woods,Scotland,66,3, 3 ," 156,000 ","179,310",32,66
D. Templeton,Scotland,66,4, 5 ," 208,000 ","239,080",29,66
Lim Sang Hyub,Korea Republic,66,3, 3 ," 156,000 ","179,310",29,66
M. Rivero,Argentina,66,4, 5 ," 208,000 ","239,080",28,66
S. Yamamoto,Japan,66,4, 5 ," 208,000 ","239,080",33,66
J. Biada,Germany,66,2, 2 ," 104,000 ","119,540",25,68
M. Torres,Argentina,66,5, 6 ," 260,000 ","298,851",20,76
R. Janicki,Poland,66,3, 3 ," 156,000 ","179,310",25,66
D. Mahmudov,FYR Macedonia,66,3, 3 ," 156,000 ","179,310",28,66
Aitor,Spain,66,2, 2 ," 104,000 ","119,540",31,66
A. Vukotić,Serbia,66,3, 3 ," 156,000 ","179,310",22,72
M. Marshall,Jamaica,66,4, 5 ," 208,000 ","239,080",31,66
N. Mohammed,Ghana,66,2, 2 ," 104,000 ","119,540",24,72
J. Walsh,Wales,66,5, 6 ," 260,000 ","298,851",26,71
T. Bergmann,Germany,66,1, 1 ," 52,000 ","59,770",21,75
Jony Ñíguez,Spain,66,2, 2 ," 104,000 ","119,540",33,66
P. Carlgren,Sweden,66,3, 3 ," 156,000 ","179,310",26,70
J. Rossiter,England,66,9, 10 ," 468,000 ","537,931",21,78
S. Sy,Senegal,66,10, 11 ," 520,000 ","597,701",22,74
C. Gonzáles,Peru,66,€ 0, -   , -   ,0,25,69
R. Nagaki,Japan,66,4, 5 ," 208,000 ","239,080",30,66
M. Al Shalhoub,Saudi Arabia,66,8, 9 ," 416,000 ","478,161",37,66
A. Le Tallec,France,66,2, 2 ," 104,000 ","119,540",33,66
D. Vidošić,Australia,66,4, 5 ," 208,000 ","239,080",31,66
C. Guerra,Chile,66,1, 1 ," 52,000 ","59,770",23,71
M. Koné,Senegal,66,5, 6 ," 260,000 ","298,851",21,74
Isidoro,Spain,66,1, 1 ," 52,000 ","59,770",31,66
O. Halvorsen,Norway,66,2, 2 ," 104,000 ","119,540",30,66
F. Ciampichetti,Argentina,66,2, 2 ," 104,000 ","119,540",30,66
Li Ang,China PR,66,5, 6 ," 260,000 ","298,851",24,71
P. Kurzweg,Germany,66,7, 8 ," 364,000 ","418,391",24,70
Cho Won Hee,Korea Republic,66,2, 2 ," 104,000 ","119,540",35,66
J. Drolè,Ivory Coast,66,4, 5 ," 208,000 ","239,080",20,79
C. Itten,Switzerland,66,4, 5 ," 208,000 ","239,080",21,79
R. Guitane,France,66,4, 5 ," 208,000 ","239,080",19,84
J. Ojala,Finland,66,2, 2 ," 104,000 ","119,540",29,67
J. Abarca,Chile,66,1, 1 ," 52,000 ","59,770",29,66
M. González,Argentina,66,4, 5 ," 208,000 ","239,080",24,73
E. Ómarsson,Iceland,66,2, 2 ," 104,000 ","119,540",23,70
T. Hasegawa,Japan,66,3, 3 ," 156,000 ","179,310",24,71
A. Diawusie,Germany,66,6, 7 ," 312,000 ","358,621",20,77
I. Khalili,Palestine,66,2, 2 ," 104,000 ","119,540",31,66
J. Żubrowski,Poland,66,2, 2 ," 104,000 ","119,540",26,71
M. Štěch,Czech Republic,66,3, 3 ," 156,000 ","179,310",28,66
O. Benítez,Argentina,66,2, 2 ," 104,000 ","119,540",27,68
A. Buksa,Poland,66,2, 2 ," 104,000 ","119,540",21,72
K. Tokura,Japan,66,2, 2 ," 104,000 ","119,540",32,66
C. Madu,Nigeria,66,3, 3 ," 156,000 ","179,310",24,69
T. van de Pavert,Netherlands,66,3, 3 ," 156,000 ","179,310",26,68
W. Keane,England,66,9, 10 ," 468,000 ","537,931",25,69
S. Branca,Italy,66,1, 1 ," 52,000 ","59,770",26,69
N. Antonitsch,Austria,66,1, 1 ," 52,000 ","59,770",26,69
T. Umesaki,Japan,66,2, 2 ," 104,000 ","119,540",31,66
A. Nakamura,Japan,66,4, 5 ," 208,000 ","239,080",27,66
N. Thompson,England,66,4, 5 ," 208,000 ","239,080",27,66
A. Kolev,Bulgaria,66,2, 2 ," 104,000 ","119,540",25,68
G. Bijl,Netherlands,66,2, 2 ," 104,000 ","119,540",22,72
C. Gunter,Wales,66,9, 10 ," 468,000 ","537,931",28,66
A. Marin,France,66,2, 2 ," 104,000 ","119,540",28,67
J. Gatt,United States,66,4, 5 ," 208,000 ","239,080",26,66
D. Miloc,Argentina,66,3, 3 ," 156,000 ","179,310",27,67
M. Wostry,Austria,66,3, 3 ," 156,000 ","179,310",25,70
K. Moriya,Japan,66,3, 3 ," 156,000 ","179,310",29,66
A. Sigurðarson,Iceland,66,2, 2 ," 104,000 ","119,540",24,69
D. Lowe,Jamaica,66,1, 1 ," 52,000 ","59,770",25,72
Milton Raphael,Brazil,66,2, 2 ," 104,000 ","119,540",27,70
B. Blume,Denmark,66,4, 5 ," 208,000 ","239,080",26,68
Jordi Quintillà,Spain,66,4, 5 ," 208,000 ","239,080",24,70
C. Doucouré,Mali,66,1, 1 ," 52,000 ","59,770",18,80
Andrés Prieto,Spain,66,2, 2 ," 104,000 ","119,540",24,72
Isaac Carcelén,Spain,66,2, 2 ," 104,000 ","119,540",25,70
Y. Nakano,Japan,66,2, 2 ," 104,000 ","119,540",25,67
L. Schwechlen,France,66,4, 5 ," 208,000 ","239,080",29,66
Jonatan Lucca,Brazil,66,2, 2 ," 104,000 ","119,540",24,71
L. Hufnagel,Georgia,66,2, 2 ," 104,000 ","119,540",24,71
J. Rothwell,England,66,10, 11 ," 520,000 ","597,701",23,74
J. Rodríguez,Colombia,66,3, 3 ," 156,000 ","179,310",22,76
A. Claude Maurice,France,66,2, 2 ," 104,000 ","119,540",20,79
R. Taylor,England,66,4, 5 ," 208,000 ","239,080",30,66
M. Mešanović,Bosnia Herzegovina,66,1, 1 ," 52,000 ","59,770",27,66
G. Plet,Netherlands,66,5, 6 ," 260,000 ","298,851",30,66
B. Dickenson,England,66,5, 6 ," 260,000 ","298,851",25,68
T. Takagi,Japan,66,3, 3 ," 156,000 ","179,310",27,66
D. Thopola,South Africa,66,1, 1 ," 52,000 ","59,770",28,66
J. Juelsgård,Denmark,66,4, 5 ," 208,000 ","239,080",29,66
A. Traoré,Mali,66,2, 2 ," 104,000 ","119,540",23,72
G. Sandoval,Chile,66,1, 1 ," 52,000 ","59,770",34,66
S. Mpontshane,South Africa,66,1, 1 ," 52,000 ","59,770",32,66
C. McCann,Republic of Ireland,66,2, 2 ," 104,000 ","119,540",30,66
O. Bozanic,Australia,66,3, 3 ," 156,000 ","179,310",29,66
L. Lezzerini,Italy,66,1, 1 ," 52,000 ","59,770",23,74
M. Yaghoubi,Finland,66,1, 1 ," 52,000 ","59,770",23,74
Joni Montiel,Spain,66,3, 3 ," 156,000 ","179,310",19,76
D. Gorter,Netherlands,66,3, 3 ," 156,000 ","179,310",30,66
T. Mears,England,66,6, 7 ," 312,000 ","358,621",35,66
S. Diakité,Mali,66,2, 2 ," 104,000 ","119,540",29,66
R. Mulumba,DR Congo,66,3, 3 ," 156,000 ","179,310",25,70
M. Høibråten,Norway,66,1, 1 ," 52,000 ","59,770",23,75
M. Lackner,Austria,66,6, 7 ," 312,000 ","358,621",27,69
M. Domínguez,Mexico,66,6, 7 ," 312,000 ","358,621",18,75
O. Käuper,Germany,66,6, 7 ," 312,000 ","358,621",21,76
A. Al Salem,Saudi Arabia,66,6, 7 ," 312,000 ","358,621",25,68
R. Vanegas,Colombia,66,1, 1 ," 52,000 ","59,770",25,69
Pablo Larrea,Spain,66,3, 3 ," 156,000 ","179,310",24,73
L. Craig,Scotland,66,3, 3 ," 156,000 ","179,310",31,66
D. Gomis,France,66,2, 2 ," 104,000 ","119,540",25,67
N. Blackman,England,66,12, 14 ," 624,000 ","717,241",28,66
F. Kaufmann,Germany,66,3, 3 ," 156,000 ","179,310",25,67
J. Ginnelly,England,66,2, 2 ," 104,000 ","119,540",21,74
L. Nmecha,England,66,3, 3 ," 156,000 ","179,310",19,83
I. Alhassan,Nigeria,66,2, 2 ," 104,000 ","119,540",21,73
L. Crecco,Italy,66,1, 1 ," 52,000 ","59,770",22,74
D. Charles,England,66,3, 3 ," 156,000 ","179,310",30,66
Cris Salvador,Spain,66,3, 3 ," 156,000 ","179,310",23,72
R. Benson,Republic of Ireland,66,1, 1 ," 52,000 ","59,770",26,69
R. Riski,Finland,66,1, 1 ," 52,000 ","59,770",28,66
K. Hafez,Egypt,66,6, 7 ," 312,000 ","358,621",22,73
C. Harriott,England,66,8, 9 ," 416,000 ","478,161",24,72
T. Belmonte,Argentina,66,4, 5 ," 208,000 ","239,080",20,80
B. Eleke,Nigeria,66,5, 6 ," 260,000 ","298,851",22,75
O. Beckles,England,66,3, 3 ," 156,000 ","179,310",26,67
Park Jin Po,Korea Republic,66,2, 2 ," 104,000 ","119,540",30,66
T. Naylor,England,66,4, 5 ," 208,000 ","239,080",27,68
G. Kiltie,Scotland,66,2, 2 ," 104,000 ","119,540",21,76
R. Shirasaki,Japan,66,2, 2 ," 104,000 ","119,540",25,68
T. Charles,Argentina,66,1, 1 ," 52,000 ","59,770",33,66
A. Falatah,Saudi Arabia,66,6, 7 ," 312,000 ","358,621",34,66
I. Tarasovs,Latvia,66,3, 3 ," 156,000 ","179,310",29,66
P. Stolarski,Poland,66,3, 3 ," 156,000 ","179,310",22,75
M. Odjer,Ghana,66,1, 1 ," 52,000 ","59,770",21,76
B. Niňaj,Slovakia,66,2, 2 ," 104,000 ","119,540",24,71
Crysan,Brazil,66,4, 5 ," 208,000 ","239,080",21,75
O. Eddahri,Sweden,66,2, 2 ," 104,000 ","119,540",27,66
J. Obika,England,66,4, 5 ," 208,000 ","239,080",27,66
T. Zhamaletdinov,Russia,66,1, 1 ," 52,000 ","59,770",21,77
K. Mets,Estonia,66,3, 3 ," 156,000 ","179,310",25,69
M. Coulibaly,Senegal,66,4, 5 ," 208,000 ","239,080",19,81
D. Mayor,England,66,5, 6 ," 260,000 ","298,851",27,66
H. Pell,England,66,5, 6 ," 260,000 ","298,851",26,67
S. McQueen,England,66,10, 11 ," 520,000 ","597,701",23,72
L. Michel,Mexico,66,3, 3 ," 156,000 ","179,310",38,66
C. Lykogiannis,Greece,66,7, 8 ," 364,000 ","418,391",24,71
S. Hertner,Germany,66,5, 6 ," 260,000 ","298,851",27,67
Arturo Molina,Spain,66,6, 7 ," 312,000 ","358,621",22,74
C. Warner,United States,66,2, 2 ," 104,000 ","119,540",30,66
V. Prodell,Sweden,66,2, 2 ," 104,000 ","119,540",30,66
T. Renault,France,66,2, 2 ," 104,000 ","119,540",34,66
A. Muyl,United States,66,2, 2 ," 104,000 ","119,540",22,74
E. Apeh,Nigeria,66,5, 6 ," 260,000 ","298,851",21,76
Alex Pozo,Spain,66,2, 2 ," 104,000 ","119,540",19,75
D. Kikuchi,Japan,66,4, 5 ," 208,000 ","239,080",27,66
R. Austin,Jamaica,66,3, 3 ," 156,000 ","179,310",33,66
M. Machaj,Poland,66,3, 3 ," 156,000 ","179,310",29,66
H. Radetinac,Serbia,66,2, 2 ," 104,000 ","119,540",32,66
M. Mikić,Croatia,66,1, 1 ," 52,000 ","59,770",38,66
M. Guevgeozián,Armenia,66,5, 6 ," 260,000 ","298,851",32,66
G. Viscarra,Bolivia,66,€ 0, -   , -   ,0,25,71
I. Lapshov,Russia,66,1, 1 ," 52,000 ","59,770",19,78
E. Fejzullahu,Kosovo,66,2, 2 ," 104,000 ","119,540",30,66
J. Ekstrand,Sweden,66,3, 3 ," 156,000 ","179,310",29,66
G. Rolando,Italy,66,8, 9 ," 416,000 ","478,161",23,75
R. Inniss,England,66,11, 13 ," 572,000 ","657,471",23,73
T. Yamashita,Japan,66,3, 3 ," 156,000 ","179,310",30,66
X. Emmers,Belgium,66,7, 8 ," 364,000 ","418,391",18,78
L. Morgan,Scotland,66,10, 11 ," 520,000 ","597,701",21,77
W. Kvist,Denmark,66,6, 7 ," 312,000 ","358,621",33,66
B. Jayiya,South Africa,66,1, 1 ," 52,000 ","59,770",28,66
J. Huyghebaert,Belgium,66,4, 5 ," 208,000 ","239,080",29,66
José Ángel,Spain,66,2, 2 ," 104,000 ","119,540",26,69
Y. Hurtado,Colombia,66,1, 1 ," 52,000 ","59,770",21,76
J. González,Mexico,66,4, 5 ," 208,000 ","239,080",26,68
R. Söder,Sweden,66,2, 2 ," 104,000 ","119,540",27,66
Choi Bo Kyung,Korea Republic,66,3, 3 ," 156,000 ","179,310",30,66
A. Hadouir,Netherlands,66,2, 2 ," 104,000 ","119,540",35,66
He Chao,China PR,66,3, 3 ," 156,000 ","179,310",23,71
M. Booysen,South Africa,66,1, 1 ," 52,000 ","59,770",29,66
C. Main,England,66,3, 3 ," 156,000 ","179,310",26,68
J. Grimmer,Scotland,66,3, 3 ," 156,000 ","179,310",24,72
A. Kann,United States,66,2, 2 ," 104,000 ","119,540",27,69
M. Lepe,Chile,66,2, 2 ," 104,000 ","119,540",27,66
J. Bandowski,Germany,66,4, 5 ," 208,000 ","239,080",24,70
Nelson Ferreira,Portugal,66,3, 3 ," 156,000 ","179,310",36,66
A. Matuszczyk,Poland,66,2, 2 ," 104,000 ","119,540",29,66
D. Stahl,Germany,66,2, 2 ," 104,000 ","119,540",29,66
Yun Il Lok,Korea Republic,66,2, 2 ," 104,000 ","119,540",26,67
R. McLaughlin,Northern Ireland,66,3, 3 ," 156,000 ","179,310",23,72
P. Joosten,Netherlands,66,5, 6 ," 260,000 ","298,851",22,72
G. Magnani,Italy,66,10, 11 ," 520,000 ","597,701",22,76
F. Bong,Cameroon,66,3, 3 ," 156,000 ","179,310",30,66
M. Restrepo,Colombia,66,1, 1 ," 52,000 ","59,770",37,66
T. Akindele,Canada,66,3, 3 ," 156,000 ","179,310",26,67
R. van der Meer,Netherlands,66,2, 2 ," 104,000 ","119,540",23,70
R. Gartler,Austria,66,6, 7 ," 312,000 ","358,621",32,66
C. Lobos,Chile,66,2, 2 ," 104,000 ","119,540",21,76
R. Cierzniak,Poland,66,2, 2 ," 104,000 ","119,540",35,66
M. Abdellaoue,Norway,66,2, 2 ," 104,000 ","119,540",29,66
L. Novak,England,66,4, 5 ," 208,000 ","239,080",29,66
Jung Seung Yong,Korea Republic,66,2, 2 ," 104,000 ","119,540",27,67
L. Gugganig,Austria,66,3, 3 ," 156,000 ","179,310",23,73
A. Donnarumma,Italy,66,15, 17 ," 780,000 ","896,552",27,67
P. Steinhart,Germany,66,2, 2 ," 104,000 ","119,540",25,69
Olavide,Spain,66,3, 3 ," 156,000 ","179,310",22,74
C. Jakobsen,Denmark,66,4, 5 ," 208,000 ","239,080",25,69
Berrocal,Spain,66,2, 2 ," 104,000 ","119,540",18,80
R. Amaral,Uruguay,66,4, 5 ," 208,000 ","239,080",21,78
Abdón,Spain,66,3, 3 ," 156,000 ","179,310",25,71
A. Al Mayoof,Saudi Arabia,66,8, 9 ," 416,000 ","478,161",31,66
A. Paleari,Italy,66,1, 1 ," 52,000 ","59,770",25,71
José Lara,Spain,66,2, 2 ," 104,000 ","119,540",18,81
A. Juel Andersen,Denmark,66,3, 3 ," 156,000 ","179,310",27,67
G. Vadalá,Argentina,66,5, 6 ," 260,000 ","298,851",21,76
Borja Sánchez,Spain,66,3, 3 ," 156,000 ","179,310",22,77
A. Ogogo,England,66,4, 5 ," 208,000 ","239,080",28,66
D. Pratley,England,66,4, 5 ," 208,000 ","239,080",33,66
K. Takayama,Japan,66,2, 2 ," 104,000 ","119,540",29,66
S. Bakış,Turkey,66,4, 5 ," 208,000 ","239,080",24,72
Dani Martín,Spain,66,1, 1 ," 52,000 ","59,770",19,78
Zhang Wenzhao,China PR,66,5, 6 ," 260,000 ","298,851",31,66
C. Goodwin,Australia,66,2, 2 ," 104,000 ","119,540",26,67
J. Becerra,Colombia,66,1, 1 ," 52,000 ","59,770",24,71
C. Bravo,Chile,66,2, 2 ," 104,000 ","119,540",24,69
V. Ramis,Argentina,66,4, 5 ," 208,000 ","239,080",23,73
F. Torres,Mexico,66,2, 2 ," 104,000 ","119,540",35,66
M. Mihara,Japan,66,3, 3 ," 156,000 ","179,310",29,66
T. Flanagan,Northern Ireland,66,4, 5 ," 208,000 ","239,080",26,69
L. Thompson,Wales,66,7, 8 ," 364,000 ","418,391",23,73
A. Schlager,Austria,66,2, 2 ," 104,000 ","119,540",22,71
J. Kaprof,Argentina,66,4, 5 ," 208,000 ","239,080",23,74
L. Mulholland,England,66,3, 3 ," 156,000 ","179,310",29,66
S. Aasmundsen,Norway,66,2, 2 ," 104,000 ","119,540",28,66
C. Ejuke,Nigeria,66,1, 1 ," 52,000 ","59,770",20,77
F. Apaolaza,Argentina,66,4, 5 ," 208,000 ","239,080",21,76
E. Butin,France,66,3, 3 ," 156,000 ","179,310",30,66
J. Fitzwater,England,66,6, 7 ," 312,000 ","358,621",20,75
M. Cholewiak,Poland,66,3, 3 ," 156,000 ","179,310",28,66
C. Schösswendter,Austria,66,8, 9 ," 416,000 ","478,161",29,66
R. Klaasen,Netherlands,66,2, 2 ," 104,000 ","119,540",24,70
P. Pervan,Austria,66,8, 9 ," 416,000 ","478,161",30,66
M. de Jong,Canada,66,2, 2 ," 104,000 ","119,540",31,66
Corpas,Spain,66,3, 3 ," 156,000 ","179,310",26,66
A. Lukse,Austria,66,3, 3 ," 156,000 ","179,310",30,66
A. Wittwer,Switzerland,66,4, 5 ," 208,000 ","239,080",27,66
E. Ebanks-Landell,England,66,15, 17 ," 780,000 ","896,552",25,69
S. Gündüz,Germany,66,5, 6 ," 260,000 ","298,851",24,68
A. Uryga,Poland,66,2, 2 ," 104,000 ","119,540",24,69
J. Absalonsen,Denmark,66,4, 5 ," 208,000 ","239,080",32,66
J. Willis,United States,66,2, 2 ," 104,000 ","119,540",29,67
E. Brophy,Scotland,66,2, 2 ," 104,000 ","119,540",22,75
T. Hübers,Germany,66,6, 7 ," 312,000 ","358,621",21,75
Q. Laçi,Albania,66,2, 2 ," 104,000 ","119,540",22,75
T. Mohamad,Syria,66,6, 7 ," 312,000 ","358,621",28,67
Dyjan Azevedo,Brazil,66,3, 3 ," 156,000 ","179,310",27,66
L. Palmer,Scotland,66,8, 9 ," 416,000 ","478,161",26,66
F. Evangelista,Argentina,66,5, 6 ," 260,000 ","298,851",26,67
Óscar Pinchi,Spain,66,11, 13 ," 572,000 ","657,471",22,77
Z. Laaroubi,Morocco,66,5, 6 ," 260,000 ","298,851",33,66
M. Palacios,Colombia,66,1, 1 ," 52,000 ","59,770",25,69
Borja,Spain,66,2, 2 ," 104,000 ","119,540",21,74
F. Vanzo,Belgium,66,3, 3 ," 156,000 ","179,310",24,70
A. Zapata,Colombia,66,1, 1 ," 52,000 ","59,770",33,66
S. Szmodics,England,66,4, 5 ," 208,000 ","239,080",22,74
A. Trusty,United States,66,1, 1 ," 52,000 ","59,770",19,79
Ryu Won Woo,Korea Republic,66,2, 2 ," 104,000 ","119,540",27,67
F. Dick,Germany,66,2, 2 ," 104,000 ","119,540",33,66
D. Rose,England,66,6, 7 ," 312,000 ","358,621",24,69
M. Oesterhelweg,Germany,66,1, 1 ," 52,000 ","59,770",27,66
D. Mignanelli,Italy,66,1, 1 ," 52,000 ","59,770",25,71
Lee Jong Ho,Korea Republic,66,3, 3 ," 156,000 ","179,310",26,68
Z. Clark,Scotland,66,2, 2 ," 104,000 ","119,540",26,70
S. Stevens,Netherlands,66,2, 2 ," 104,000 ","119,540",26,70
Sergio Gil,Spain,66,2, 2 ," 104,000 ","119,540",22,74
U. Zeybek,Turkey,66,12, 14 ," 624,000 ","717,241",23,73
A. Acosta,Mexico,66,5, 6 ," 260,000 ","298,851",21,78
K. Oi,Japan,66,2, 2 ," 104,000 ","119,540",34,66
Y. Sari,Turkey,66,6, 7 ," 312,000 ","358,621",19,75
M. Ruiz,Mexico,66,2, 2 ," 104,000 ","119,540",17,79
L. Holmes,England,66,4, 5 ," 208,000 ","239,080",31,66
D. Powers,United States,66,3, 3 ," 156,000 ","179,310",27,67
S. Henderson,Republic of Ireland,66,10, 11 ," 520,000 ","597,701",30,66
S. Scougall,Scotland,66,2, 2 ," 104,000 ","119,540",25,68
Cho Yong Hyung,Korea Republic,66,2, 2 ," 104,000 ","119,540",34,66
Cho Young Wook,Korea Republic,66,2, 2 ," 104,000 ","119,540",19,74
H. Koffi,Burkina Faso,66,4, 5 ," 208,000 ","239,080",21,77
S. Sandberg,Sweden,66,2, 2 ," 104,000 ","119,540",24,71
T. Gabuza,South Africa,66,1, 1 ," 52,000 ","59,770",30,66
P. Muñoz,Chile,66,3, 3 ," 156,000 ","179,310",32,66
C. MacGillivray,England,66,3, 3 ," 156,000 ","179,310",25,72
C. Arcus,Haiti,66,2, 2 ," 104,000 ","119,540",22,74
A. Dercho,Germany,66,2, 2 ," 104,000 ","119,540",31,66
H. Hauger,Norway,66,2, 2 ," 104,000 ","119,540",32,66
Manu,Switzerland,66,2, 2 ," 104,000 ","119,540",34,66
J. Leko,England,66,6, 7 ," 312,000 ","358,621",19,78
J. Aguirre,Colombia,66,1, 1 ," 52,000 ","59,770",26,71
Kim Chang Soo,Korea Republic,66,2, 2 ," 104,000 ","119,540",32,66
L. Ćirković,Serbia,66,4, 5 ," 208,000 ","239,080",25,69
Isma Cerro,Spain,66,3, 3 ," 156,000 ","179,310",22,73
E. Castillo,Ecuador,66,6, 7 ," 312,000 ","358,621",23,75
P. Downing,England,66,11, 13 ," 572,000 ","657,471",26,68
R. Vollath,Germany,66,2, 2 ," 104,000 ","119,540",28,67
A. Munksgaard,Denmark,66,4, 5 ," 208,000 ","239,080",20,74
M. Ogbu,Nigeria,66,1, 1 ," 52,000 ","59,770",27,67
Jang Ho Ik,Korea Republic,66,3, 3 ," 156,000 ","179,310",24,69
K. Bartolec,Croatia,66,4, 5 ," 208,000 ","239,080",23,74
G. Malcore,Italy,66,1, 1 ," 52,000 ","59,770",24,73
V. Gvilia,Georgia,66,4, 5 ," 208,000 ","239,080",24,71
D. Burnić,Germany,66,8, 9 ," 416,000 ","478,161",20,78
A. Öztürk,Turkey,66,4, 5 ," 208,000 ","239,080",25,70
K. Taketomi,Japan,66,4, 5 ," 208,000 ","239,080",27,66
M. Mancosu,Italy,66,2, 2 ," 104,000 ","119,540",29,66
D. Jaković,Canada,66,2, 2 ," 104,000 ","119,540",32,66
M. Saeid,Sweden,66,1, 1 ," 52,000 ","59,770",27,66
U. Taffertshofer,Germany,66,2, 2 ," 104,000 ","119,540",26,67
A. Medina,Argentina,66,4, 5 ," 208,000 ","239,080",33,66
M. Papadopulos,Czech Republic,66,3, 3 ," 156,000 ","179,310",33,66
N. Zaniolo,Italy,66,7, 8 ," 364,000 ","418,391",18,84
F. Montero,Argentina,66,4, 5 ," 208,000 ","239,080",29,66
J. Vuković,Croatia,66,3, 3 ," 156,000 ","179,310",26,69
E. Barli,Norway,66,1, 1 ," 52,000 ","59,770",26,70
G. Carrasco,Argentina,66,4, 5 ," 208,000 ","239,080",21,76
A. Balijon,France,66,1, 1 ," 52,000 ","59,770",35,66
I. Saavedra,Chile,66,2, 2 ," 104,000 ","119,540",19,74
Z. Janjić,Bosnia Herzegovina,66,2, 2 ," 104,000 ","119,540",32,66
J. Skjelvik,Norway,66,2, 2 ," 104,000 ","119,540",26,68
K. Kamiński,Poland,66,2, 2 ," 104,000 ","119,540",27,69
M. Endres,Germany,66,2, 2 ," 104,000 ","119,540",27,67
B. Delacourt,France,66,4, 5 ," 208,000 ","239,080",32,66
C. Rismark,Norway,66,2, 2 ," 104,000 ","119,540",26,68
A. Ligi,Italy,66,1, 1 ," 52,000 ","59,770",28,66
D. Lachman,Curacao,66,3, 3 ," 156,000 ","179,310",28,66
M. Riascos,Colombia,66,5, 6 ," 260,000 ","298,851",27,66
L. Vignali,Italy,66,1, 1 ," 52,000 ","59,770",22,77
S. Skålevik,Norway,66,2, 2 ," 104,000 ","119,540",25,71
M. Djetei,Cameroon,66,2, 2 ," 104,000 ","119,540",23,75
A. Fuchs,Germany,66,5, 6 ," 260,000 ","298,851",21,75
M. Könnecke,Germany,66,1, 1 ," 52,000 ","59,770",29,66
E. Yao Guy,Ivory Coast,66,2, 2 ," 104,000 ","119,540",22,74
G. Burke,Republic of Ireland,66,4, 5 ," 208,000 ","239,080",24,71
